NAME,WEEKS
Saquon Barkley,"[(1, 'GB', 0.0), (2, 'ATL', 0.0), (3, 'NO', 0.0), (4, 'TB', 0.0), (7, 'NYG', 0.0), (9, 'JAX', 0.0), (11, 'WAS', 0.0), (12, 'LAR', 0.0), (13, 'BAL', 0.0)]"
Jayden Reed,"[(1, 'PHI', 0.0), (4, 'MIN', 0.0), (5, 'LAR', 0.0), (6, 'ARI', 0.0), (9, 'DET', 0.0), (13, 'MIA', 0.0)]"
Cooper Kupp,"[(1, 'DET', 0.0), (8, 'MIN', 0.0), (9, 'SEA', 0.0), (10, 'MIA', 0.0), (11, 'NE', 0.0), (12, 'PHI', 0.0)]"
Josh Allen,"[(1, 'ARI', 0.0), (3, 'JAX', 0.0), (5, 'HOU', 0.0), (6, 'NYJ', 0.0), (7, 'TEN', 0.0), (8, 'SEA', 0.0), (9, 'MIA', 0.0), (10, 'IND', 0.0), (11, 'KC', 0.0), (13, 'SF', 0.0)]"
Baker Mayfield,"[(1, 'WAS', 0.0), (2, 'DET', 0.0), (4, 'PHI', 0.0), (5, 'ATL', 0.0), (6, 'NO', 0.0), (7, 'BAL', 0.0), (8, 'ATL', 0.0), (9, 'KC', 0.0), (12, 'NYG', 0.0)]"
Jayden Daniels,"[(1, 'TB', 0.0), (2, 'NYG', 0.0), (3, 'CIN', 0.0), (4, 'ARI', 0.0), (5, 'CLE', 0.0), (6, 'BAL', 0.0), (8, 'CHI', 0.0), (9, 'NYG', 0.0), (11, 'PHI', 0.0), (12, 'DAL', 0.0), (13, 'TEN', 0.0)]"
Allen Lazard,"[(1, 'SF', 0.0), (3, 'NE', 0.0), (5, 'MIN', 0.0), (6, 'BUF', 0.0)]"
Joe Mixon,"[(1, 'IND', 0.0), (6, 'NE', 0.0), (7, 'GB', 0.0), (8, 'IND', 0.0), (9, 'NYJ', 0.0), (10, 'DET', 0.0), (11, 'DAL', 0.0), (13, 'JAX', 0.0)]"
Isaiah Likely,"[(1, 'KC', 0.0), (5, 'CIN', 0.0), (13, 'PHI', 0.0)]"
Anthony Richardson,"[(1, 'HOU', 0.0), (11, 'NYJ', 0.0), (12, 'DET', 0.0), (13, 'NE', 0.0)]"
Tyreek Hill,"[(1, 'JAX', 0.0), (5, 'NE', 0.0), (8, 'ARI', 0.0), (9, 'BUF', 0.0), (10, 'LAR', 0.0), (11, 'LV', 0.0), (13, 'GB', 0.0)]"
Lamar Jackson,"[(1, 'KC', 0.0), (2, 'LV', 0.0), (3, 'DAL', 0.0), (4, 'BUF', 0.0), (5, 'CIN', 0.0), (6, 'WAS', 0.0), (7, 'TB', 0.0), (8, 'CLE', 0.0), (9, 'DEN', 0.0), (10, 'CIN', 0.0), (11, 'PIT', 0.0), (12, 'LAC', 0.0), (13, 'PHI', 0.0)]"
Jameson Williams,"[(1, 'LAR', 0.0), (2, 'TB', 0.0), (4, 'SEA', 0.0), (6, 'DAL', 0.0), (11, 'JAX', 0.0), (12, 'IND', 0.0)]"
Jake Moody,"[(1, 'NYJ', 0.0), (4, 'NE', 0.0), (10, 'TB', 0.0)]"
Chris Boswell,"[(1, 'ATL', 0.0), (6, 'LV', 0.0), (7, 'NYJ', 0.0), (8, 'NYG', 0.0), (11, 'BAL', 0.0), (13, 'CIN', 0.0)]"
Mike Evans,"[(1, 'WAS', 0.0), (4, 'PHI', 0.0), (5, 'ATL', 0.0), (12, 'NYG', 0.0), (13, 'CAR', 0.0)]"
De'Von Achane,"[(1, 'JAX', 0.0), (2, 'BUF', 0.0), (7, 'IND', 0.0), (8, 'ARI', 0.0), (9, 'BUF', 0.0), (10, 'LAR', 0.0), (11, 'LV', 0.0), (12, 'NE', 0.0), (13, 'GB', 0.0)]"
A.J. Brown,"[(1, 'GB', 0.0), (6, 'CLE', 0.0), (7, 'NYG', 0.0), (8, 'CIN', 0.0), (10, 'DAL', 0.0), (11, 'WAS', 0.0), (12, 'LAR', 0.0)]"
J.K. Dobbins,"[(1, 'LV', 0.0), (2, 'CAR', 0.0), (6, 'DEN', 0.0), (8, 'NO', 0.0), (9, 'CLE', 0.0), (11, 'CIN', 0.0)]"
Chris Godwin,"[(1, 'WAS', 0.0), (2, 'DET', 0.0), (3, 'DEN', 0.0), (4, 'PHI', 0.0), (6, 'NO', 0.0), (7, 'BAL', 0.0)]"
